iter	Passed	Remaining
0	4	402
1	8	392
2	11	376
3	14	341
4	17	332
5	21	331
6	24	323
7	27	313
8	29	296
9	31	284
10	33	274
11	35	260
12	37	250
13	39	239
14	40	229
15	41	219
16	43	210
17	44	202
18	46	196
19	48	193
20	49	186
21	51	181
22	52	174
23	53	168
24	54	163
25	55	157
26	56	152
27	57	147
28	58	142
29	59	138
30	60	133
31	61	130
32	62	126
33	63	123
34	64	119
35	65	116
36	66	113
37	67	109
38	68	106
39	69	103
40	69	100
41	70	96
42	71	94
43	71	91
44	72	88
45	73	86
46	74	84
47	75	81
48	76	79
49	77	77
50	78	75
51	79	73
52	80	71
53	81	69
54	82	67
55	83	65
56	84	63
57	85	61
58	85	59
59	86	57
60	87	56
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	93	46
67	94	44
68	95	42
69	96	41
70	97	39
71	98	38
72	99	36
73	99	35
74	100	33
75	101	32
76	102	30
77	103	29
78	104	27
79	105	26
80	106	25
81	107	23
82	108	22
83	109	20
84	110	19
85	111	18
86	111	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
