iter	Passed	Remaining
0	3	3441
1	5	2835
2	7	2472
3	9	2430
4	12	2406
5	14	2378
6	16	2336
7	19	2450
8	21	2363
9	23	2353
10	25	2310
11	27	2281
12	29	2261
13	32	2311
14	35	2311
15	37	2277
16	39	2281
17	42	2298
18	44	2285
19	46	2285
20	49	2329
21	52	2312
22	53	2273
23	55	2267
24	57	2245
25	60	2252
26	62	2262
27	65	2276
28	67	2254
29	70	2268
30	72	2252
31	74	2266
32	78	2299
33	81	2309
34	84	2333
35	87	2354
36	90	2343
37	94	2400
38	97	2408
39	101	2433
40	103	2428
41	106	2440
42	109	2442
43	112	2446
44	114	2436
45	116	2422
46	121	2460
47	123	2452
48	125	2444
49	128	2436
50	131	2440
51	134	2452
52	137	2451
53	140	2455
54	142	2445
55	144	2443
56	148	2460
57	152	2469
58	154	2465
59	156	2453
60	158	2442
61	160	2429
62	163	2436
63	166	2442
64	169	2431
65	171	2424
66	174	2423
67	176	2412
68	179	2416
69	181	2413
70	184	2411
71	187	2413
72	189	2404
73	192	2402
74	194	2398
75	197	2395
76	198	2384
77	200	2369
78	202	2355
79	203	2339
80	206	2346
81	210	2358
82	212	2346
83	213	2330
84	215	2322
85	218	2318
86	221	2320
87	224	2323
88	226	2322
89	228	2313
90	231	2310
91	233	2302
92	234	2291
93	236	2282
94	239	2278
95	241	2278
96	243	2270
97	246	2264
98	247	2255
99	250	2250
100	252	2243
101	255	2250
102	257	2240
103	259	2231
104	261	2225
105	264	2228
106	265	2218
107	269	2227
108	272	2224
109	274	2220
110	276	2214
111	278	2210
112	281	2205
113	283	2207
114	286	2205
115	288	2199
116	290	2191
117	292	2183
118	294	2178
119	296	2173
120	300	2182
121	301	2172
122	303	2167
123	306	2165
124	309	2164
125	311	2158
126	313	2152
127	315	2149
128	317	2142
129	318	2132
130	320	2124
131	323	2124
132	326	2127
133	329	2127
134	331	2125
135	333	2118
136	335	2114
137	337	2110
138	340	2106
139	342	2104
140	344	2101
141	346	2092
142	348	2085
143	349	2078
144	351	2071
145	354	2071
146	357	2076
147	361	2080
148	363	2078
149	365	2073
150	367	2067
151	369	2061
152	371	2057
153	374	2059
154	377	2056
155	379	2052
156	381	2046
157	382	2039
158	384	2034
159	386	2030
160	389	2029
161	391	2025
162	393	2020
163	394	2013
164	396	2007
165	399	2007
166	401	2003
167	404	2000
168	406	2001
169	408	1993
170	410	1989
171	412	1984
172	414	1982
173	419	1993
174	422	1991
175	425	1990
176	427	1985
177	429	1982
178	431	1977
179	434	1979
180	437	1977
181	439	1976
182	441	1972
183	444	1969
184	446	1965
185	448	1962
186	450	1959
187	452	1953
188	454	1948
189	455	1943
190	457	1939
191	460	1936
192	462	1935
193	464	1931
194	466	1926
195	468	1923
196	470	1918
197	472	1914
198	474	1910
199	476	1905
200	479	1904
201	481	1902
202	483	1898
203	485	1894
204	487	1891
205	489	1888
206	491	1884
207	495	1886
208	497	1883
209	499	1877
210	500	1872
211	502	1868
212	505	1867
213	507	1864
214	509	1861
215	511	1856
216	513	1852
217	514	1847
218	516	1841
219	517	1835
220	519	1830
221	521	1826
222	524	1828
223	526	1824
224	528	1820
225	530	1815
226	532	1811
227	533	1808
228	535	1803
229	544	1822
230	545	1817
231	547	1812
232	549	1807
233	551	1804
234	553	1801
235	556	1802
236	559	1799
237	560	1795
238	562	1791
239	564	1787
240	566	1783
241	569	1782
242	572	1782
243	574	1779
244	575	1774
245	577	1770
246	579	1766
247	581	1762
248	584	1761
249	587	1763
250	589	1758
251	590	1753
252	592	1749
253	594	1745
254	596	1743
255	599	1743
256	601	1739
257	603	1735
258	605	1732
259	607	1728
260	609	1724
261	610	1720
262	614	1723
263	616	1718
264	618	1715
265	620	1711
266	622	1709
267	624	1706
268	626	1703
269	630	1705
270	632	1701
271	634	1698
272	636	1695
273	638	1691
274	640	1687
275	642	1684
276	644	1683
277	646	1679
278	649	1678
279	651	1675
280	653	1672
281	655	1667
282	656	1663
283	659	1662
284	661	1660
285	663	1656
286	665	1652
287	666	1648
288	668	1645
289	670	1642
290	673	1641
291	675	1638
292	678	1636
293	679	1632
294	682	1630
295	684	1627
296	685	1623
297	688	1620
298	690	1617
299	691	1613
300	693	1609
301	694	1606
302	696	1602
303	698	1599
304	700	1595
305	701	1590
306	704	1590
307	706	1588
308	708	1585
309	710	1581
310	712	1578
311	714	1575
312	717	1575
313	720	1572
314	722	1570
315	723	1567
316	725	1563
317	727	1560
318	729	1557
319	731	1554
320	735	1555
321	737	1553
322	739	1549
323	742	1548
324	743	1545
325	745	1541
326	748	1540
327	750	1537
328	752	1534
329	754	1531
330	756	1528
331	760	1530
332	767	1536
333	769	1533
334	771	1532
335	813	1606
336	820	1615
337	822	1611
338	825	1609
339	832	1615
340	834	1611
341	836	1608
342	837	1604
343	847	1615
344	850	1613
345	853	1612
346	855	1609
347	857	1605
348	866	1616
349	869	1614
350	870	1610
351	872	1606
352	879	1611
353	883	1612
354	886	1610
355	889	1609
356	892	1607
357	895	1606
358	897	1602
359	899	1598
360	901	1595
361	902	1591
362	906	1591
363	908	1587
364	911	1585
365	913	1582
366	915	1578
367	917	1575
368	920	1574
369	923	1571
370	924	1567
371	926	1564
372	928	1561
373	931	1558
374	934	1556
375	937	1555
376	939	1551
377	941	1548
378	943	1546
379	945	1542
380	947	1539
381	949	1536
382	952	1533
383	954	1530
384	955	1526
385	957	1523
386	959	1519
387	961	1516
388	964	1514
389	966	1512
390	968	1508
391	970	1505
392	972	1502
393	974	1498
394	975	1494
395	977	1491
396	980	1488
397	982	1485
398	983	1481
399	985	1477
400	987	1474
401	989	1471
402	990	1468
403	992	1464
404	995	1461
405	997	1458
406	998	1455
407	1000	1451
408	1002	1448
409	1003	1444
410	1005	1441
411	1007	1437
412	1010	1436
413	1014	1435
414	1016	1432
415	1019	1430
416	1021	1428
417	1026	1429
418	1028	1426
419	1030	1423
420	1070	1471
421	1077	1475
422	1079	1473
423	1082	1470
424	1084	1467
425	1087	1465
426	1090	1463
427	1092	1460
428	1095	1457
429	1098	1455
430	1099	1451
431	1101	1448
432	1104	1446
433	1106	1443
434	1109	1440
435	1111	1438
436	1114	1435
437	1116	1432
438	1118	1428
439	1120	1425
440	1122	1423
441	1125	1420
442	1128	1419
443	1131	1416
444	1134	1415
445	1137	1413
446	1144	1415
447	1146	1412
448	1150	1411
449	1152	1408
450	1154	1405
451	1155	1401
452	1158	1398
453	1160	1395
454	1162	1392
455	1164	1389
456	1167	1387
457	1169	1383
458	1170	1380
459	1172	1376
460	1174	1373
461	1176	1369
462	1178	1367
463	1181	1364
464	1183	1362
465	1186	1360
466	1189	1357
467	1192	1356
468	1195	1353
469	1197	1350
470	1200	1347
471	1203	1346
472	1206	1343
473	1208	1341
474	1210	1338
475	1212	1335
476	1214	1331
477	1217	1329
478	1219	1326
479	1221	1323
480	1223	1320
481	1225	1316
482	1226	1313
483	1228	1309
484	1230	1306
485	1233	1304
486	1240	1306
487	1242	1303
488	1244	1300
489	1246	1297
490	1250	1296
491	1252	1293
492	1254	1289
493	1256	1286
494	1259	1284
495	1261	1281
496	1265	1280
497	1267	1277
498	1269	1274
499	1270	1270
500	1273	1268
501	1275	1265
502	1277	1262
503	1280	1259
504	1282	1256
505	1283	1253
506	1286	1250
507	1288	1247
508	1291	1245
509	1295	1244
510	1297	1241
511	1299	1238
512	1302	1236
513	1304	1233
514	1305	1229
515	1308	1227
516	1310	1224
517	1313	1222
518	1315	1219
519	1318	1216
520	1319	1213
521	1322	1210
522	1326	1210
523	1329	1207
524	1331	1204
525	1332	1200
526	1334	1197
527	1336	1194
528	1341	1194
529	1343	1191
530	1344	1187
531	1347	1185
532	1349	1182
533	1351	1179
534	1354	1177
535	1356	1174
536	1358	1171
537	1361	1168
538	1363	1165
539	1365	1163
540	1368	1160
541	1370	1157
542	1372	1154
543	1374	1152
544	1376	1149
545	1378	1146
546	1380	1143
547	1382	1140
548	1384	1137
